name,city,source,url,phone,address,notes,has_website,has_app,offers_pickup,offers_delivery,delivery_platforms,uses_doordash_marketing,uses_chownow
Baby Barnaby's,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/baby-barnabys-houston-5?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 522-0106,"602 Fairview St, Houston, TX, 77006","Breakfast & Brunch, American",,,no,yes,Yelp,,
Josephine's Gulf Coast Tradition,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/josephines-gulf-coast-tradition-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 527-8988,"318 Gray St, Houston, TX, 77002","Seafood, Sandwiches, Southern",,,,,,,
ChopnBlok - Montrose,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/chopnblok-montrose-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 962-4500,"507 Westheimer Rd, Houston, TX, 77006","African, Salad, Cocktail Bars",,,,,,,
ChopnBlok - POST Market,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/chopnblok-post-market-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 631-5009,"401 Franklin St, Ste 1305, Houston, TX, 77201",African,,,,,,,
La Sicilia Italian Bakery & Cafe,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/la-sicilia-italian-bakery-and-cafe-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 636-2900,"515 Westheimer Rd, Ste C, Houston, TX, 77006","Bakeries, Desserts, Cafes",,,no,yes,Yelp,,
Taste Kitchen Bar,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/taste-kitchen-bar-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 485-5803,"420 Main St, Houston, TX, 77002","Breakfast & Brunch, Bars, Southern",,,,,,,
Guard and Grace Modern Steakhouse,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/guard-and-grace-modern-steakhouse-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(346) 326-0789,"500 Dallas St, Houston, TX, 77002","New American, Steakhouses, Seafood",,,yes,yes,Yelp,,
Petit Lucie,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/petit-lucie-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,,"301 Milam St, Houston, TX, 77002",French,,,,,,,
Puebla's Mexican Kitchen,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/pueblas-mexican-kitchen-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 426-9062,"6320 N Main St, Houston, TX, 77009","Mexican, Breakfast & Brunch",,,yes,no,,,
Fabio's Artisan Pasta,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/fabios-artisan-pasta-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 528-1329,"2129 W Alabama St, Houston, TX, 77098",Pasta Shops,,,,,,,
Saint Arnold Brewing Company,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/saint-arnold-brewing-company-houston-4?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 686-9494,"2000 Lyons Ave, Houston, TX, 77020",Brewpubs,,,no,yes,Yelp,,
Barcelona Wine Bar,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/barcelona-wine-bar-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 878-3355,"1731 Westheimer Rd, Houston, TX, 77098","Wine Bars, Spanish, Tapas Bars",,,,,,,
Toca Madera,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/toca-madera-houston-4?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 715-5808,"1755 Allen Pkwy, Ste 101, Houston, TX, 77019","Steakhouses, Mexican, Cocktail Bars",,,,,,,
Toro Toro,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/toro-toro-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 650-1300,"1300 Lamar St, Houston, TX, 77010","Steakhouses, Latin American",,,,,,,
everywine,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/everywine-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 680-1399,"1111 Heights Blvd, Houston, TX, 77008",Wine Tasting Room,,,,,,,
Leeland House,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/leeland-house-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 888-9806,"2119 Leeland St, Houston, TX, 77003","Breakfast & Brunch, Coffee & Tea, Bars",,,yes,yes,Yelp,,
Tumble 22,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/tumble-22-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 500-9190,"1017 Houston Ave, Houston, TX, 77007","Chicken Shop, Desserts, Sandwiches",,,yes,yes,Yelp,,
Koffeteria,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/koffeteria-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,,"1110 Hutchins St, Houston, TX, 77003","Bakeries, Cafes",,,,,,,
Street to Kitchen,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/street-to-kitchen-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(281) 501-3435,"3401 Harrisburg Blvd, Ste G, Houston, TX, 77003",Thai,,,yes,yes,Yelp,,
Queen Bee's Tea Room,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/queen-bees-tea-room-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 393-7161,"201 W 15th St, Houston, TX, 77008",Tea Rooms,,,,,,,
B&B Butchers & Restaurant,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/b-and-b-butchers-and-restaurant-houston-4?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 862-1814,"1814 Washington Ave, Houston, TX, 77007","Butcher, Steakhouses, Cocktail Bars, Butcher, Steakhouses, Cocktail Bars",,,no,yes,Yelp,,
Gus's World Famous Fried Chicken,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/guss-world-famous-fried-chicken-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 740-4022,"1815 Washington Ave, Houston, TX, 77007","Southern, Chicken Shop, Comfort Food",,,no,yes,Yelp,,
J-Bar-M Barbecue,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/j-bar-m-barbecue-houston-2?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 534-1024,"2201 Leeland St, Houston, TX, 77003","Barbeque, Beer Gardens",,,yes,yes,Yelp,,
Tiny Champions,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/tiny-champions-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 485-5329,"2617 McKinney St, Houston, TX, 77003","Pizza, Cocktail Bars, Italian",,,no,yes,Yelp,,
Uchi Houston,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/uchi-houston-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 522-4808,"904 Westheimer Rd, Ste A, Houston, TX, 77006","Sushi Bars, Japanese, Asian Fusion",,,no,yes,Yelp,,
Barbacana,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/barbacana-houston?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(832) 538-0652,"907 Franklin St, Houston, TX, 77002","Seafood, Beer Bar, Cocktail Bars",,,,,,,
Local Foods,Houston,https://api.yelp.com/v3/businesses/search,https://www.yelp.com/biz/local-foods-houston-10?adjust_creative=BTMSbuBS3k_qOlk6gfnmoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BTMSbuBS3k_qOlk6gfnmoA,(713) 360-6133,"714 Yale St, Ste 1A, Houston, TX, 77007","Sandwiches, Salad, Vegetarian",,,yes,yes,Yelp,,
